,ISIN,Coupon,Issue Date,Maturity Date,Price1,Price2,Price3,Price4,Price5,Price6,Price7,Price8,Price9,Price10,Months,DirtyPrice1,DirtyPrice2,DirtyPrice3,DirtyPrice4,DirtyPrice5,DirtyPrice6,DirtyPrice7,DirtyPrice8,DirtyPrice9,DirtyPrice10,YTM1,YTM2,YTM3,YTM4,YTM5,YTM6,YTM7,YTM8,YTM9,YTM10,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0,CA135087J546,0.0225,10/5/2018,2024-03-01,99.63,99.64,99.65,99.661,99.67,99.687,99.68,99.683,99.708,99.72,2,100.42999999999999,100.44625,100.4625,100.47975,100.495,100.53075,100.53,100.53925000000001,100.5705,100.58875,0.048902482652115144,0.048686545072555855,0.04846221471923047,0.048152337867972725,0.04798628890468963,0.04827902557220174,0.04946700647648153,0.049837057776100896,0.048257386729993114,0.04779236462024339,0.04684352585711259,0.046624270296060207,0.04639660122225128,0.0460883571781486,0.04591396183548163,0.04612480066637059,0.047209479690616465,0.047529628851074084,0.04603312693754876,0.0455738827902305,0.04684352585711249,0.0466242702960602,0.0463966012222512,0.04608835717814852,0.045913961835481576,0.04612480066637059,0.047209479690616396,0.047529628851074035,0.046033126937548685,0.04557388279023056
1,CA135087J967,0.015,4/5/2019,2024-09-01,97.96,97.98,97.985,97.982,98.021,98.054,97.974,97.975,97.999,98.007,8,98.49333333333333,98.5175,98.52666666666667,98.52783333333333,98.571,98.6165,98.54066666666667,98.54583333333333,98.574,98.58616666666667,0.04805122500337288,0.047862352775674986,0.04792311295751621,0.04811899627733667,0.04760722037094228,0.047482576189673935,0.04900488520921584,0.04914199411533235,0.048880932705933106,0.048896658229192,0.046729655840180996,0.046549399267528296,0.04660672776699539,0.04679273854231203,0.04630505328705986,0.046183321661749314,0.0476286986995819,0.0477575485473963,0.04751066320501849,0.04752525358926471,0.04672965584018107,0.046549399267528324,0.04660672776699548,0.04679273854231214,0.046305053287059916,0.04618332166174932,0.04762869869958197,0.04775754854739622,0.0475106632050184,0.04752525358926474
2,CA135087K528,0.0125,10/11/2019,2025-03-01,96.46,96.482,96.552,96.576,96.661,96.715,96.54,96.448,96.495,96.46,14,96.90444444444444,96.92991666666667,97.00338888888889,97.03086111111111,97.11933333333333,97.18375,97.01222222222223,96.92369444444444,96.97416666666668,96.94263888888888,0.045054156305035814,0.044924551604358105,0.044336596505827504,0.044185817793989064,0.04345085787738862,0.043162213910628446,0.04492991943172603,0.045904829153294295,0.04553085449530492,0.04595588625771638,0.04394880113703152,0.043825154358865054,0.04326102430590146,0.04311575303101679,0.042412020846819776,0.042134589412844314,0.043824599277689086,0.04475786536321974,0.044401321515082796,0.04480845823563625,0.04394880113703148,0.043825154358865026,0.04326102430590151,0.04311575303101689,0.04241202084681972,0.0421345894128442,0.043824599277689114,0.044757865363219684,0.04440132151508269,0.044808458235636284
3,CA135087K940,0.005,4/3/2020,2025-09-01,94.34,94.37,94.38,94.43,94.49,94.49,94.42,94.25,94.24,94.22,20,94.51777777777778,94.54916666666666,94.56055555555555,94.61194444444445,94.67333333333333,94.6775,94.60888888888888,94.44027777777778,94.43166666666666,94.41305555555556,0.04135707870400769,0.04121720793396563,0.04121194040577093,0.040936303231050714,0.04059236463220177,0.04077741920917223,0.041316479423075016,0.0425423923269806,0.04267647995207685,0.04287982349652645,0.04044200541290374,0.04030788853172596,0.040303741584015784,0.04003870778475243,0.03970952051439923,0.039887915073226046,0.040401655008123274,0.04157776060670258,0.0417076079510142,0.04190211478875309,0.04044200541290377,0.040307888531726066,0.04030374158401573,0.04003870778475238,0.03970952051439913,0.03988791507322609,0.040401655008123205,0.041577760606702485,0.041707607951014136,0.04190211478875305
4,CA135087L518,0.0025,10/9/2020,2026-03-01,92.862,92.86,92.844,92.856,93.023,93.008,92.796,92.57,92.546,92.545,26,92.95088888888888,92.94958333333334,92.93427777777777,92.94697222222221,93.11466666666666,93.10175,92.89044444444446,92.66513888888888,92.64183333333334,92.64152777777778,0.03780044703048024,0.03785737235131087,0.0379877728115528,0.03797167827419781,0.03714278871963747,0.037359518967879486,0.03852424636546209,0.03977024293116835,0.0399475874098488,0.04000291222668611,0.03704258631068772,0.03709775896714461,0.03722385672794534,0.03720861763771108,0.03641005961126701,0.036619131194972274,0.03773984315269793,0.038937959848701555,0.039108928969472774,0.03916169065592166,0.0370425863106878,0.03709775896714462,0.03722385672794526,0.037208617637711106,0.03641005961126709,0.036619131194972177,0.03773984315269785,0.03893795984870163,0.03910892896947282,0.039161690655921566
5,CA135087L930,0.01,4/16/2021,2026-09-01,93.46,93.44,93.55,93.53,93.6,93.57,93.4,93.12,93.08,93.07,32,93.81555555555555,93.79833333333333,93.91111111111111,93.8938888888889,93.96666666666665,93.945,93.77777777777779,93.50055555555556,93.46333333333334,93.4561111111111,0.036477783590913415,0.03659052965283063,0.036151359205483964,0.0362638862688319,0.03599398091868935,0.036204423736978984,0.036958925979069183,0.03818982627170559,0.038392143990928156,0.03846551174648782,0.03573400029316064,0.03584473339228112,0.03541761731906671,0.03552846988862256,0.03527205514716728,0.035476753584772425,0.036199802137015645,0.037386950463122695,0.0375841820330768,0.03765395898245533,0.03573400029316054,0.035844733392281114,0.035417617319066785,0.03552846988862246,0.03527205514716725,0.035476753584772425,0.03619980213701557,0.03738695046312279,0.037584182033076896,0.03765395898245538
6,CA135087M847,0.0125,10/15/2021,2027-03-01,93.282,93.301,93.245,93.186,93.467,93.493,93.141,92.856,92.753,92.764,38,93.72644444444444,93.74891666666667,93.69638888888889,93.64086111111112,93.92533333333333,93.96175,93.61322222222223,93.33169444444444,93.23216666666667,93.24663888888888,0.03556521375174621,0.035517155744856456,0.035738838091035556,0.035971894244151446,0.03498050415475069,0.03494627299227469,0.036238525899999395,0.037295396810185844,0.03769310205547475,0.03767523748713755,0.03484129678735606,0.03479453121243689,0.03501525136944792,0.035244564115566666,0.03428025649511211,0.034245257254211466,0.03549646817916138,0.036514327686534086,0.03690326927873536,0.03688377360612339,0.034841296787356146,0.03479453121243692,0.03501525136944794,0.03524456411556676,0.03428025649511213,0.03424525725421157,0.03549646817916141,0.036514327686534065,0.03690326927873544,0.03688377360612338
7,CA135087N837,0.0275,5/13/2022,2027-09-01,97.58,97.591,97.603,97.52,97.74,97.772,97.441,97.092,96.956,96.947,44,98.55777777777777,98.57641666666666,98.59605555555555,98.52069444444444,98.74833333333333,98.80325,98.4798888888889,98.13852777777778,98.01016666666666,98.00880555555555,0.03491761268796676,0.03488951819692228,0.034858348653914295,0.03511642384834481,0.03445208870740312,0.034369721035302704,0.035385810716678234,0.03646333304413212,0.036889217330918295,0.03692388397955052,0.034124590528411394,0.03409764085456174,0.034069824414729145,0.03432870712080258,0.03368661557205187,0.03360150545717314,0.03457935092572494,0.03561840115009641,0.036041453368125066,0.036072813378663526,0.034124590528411325,0.034097640854561684,0.034069824414729055,0.03432870712080249,0.03368661557205188,0.03360150545717322,0.03457935092572484,0.0356184011500964,0.03604145336812503,0.036072813378663415
8,CA135087P576,0.035,10/21/2022,2028-03-01,100.5,100.48,100.439,100.328,100.637,100.673,100.22,99.834,99.662,99.623,50,101.74444444444444,101.73416666666667,101.70288888888888,101.60161111111111,101.92033333333333,101.9855,101.54222222222222,101.16594444444445,101.00366666666667,100.9743888888889,0.033973178341075265,0.03402529919759775,0.03413306800638885,0.034426577179753684,0.03360782533986779,0.03350964139505314,0.03471185263825054,0.03574308989898724,0.036205073576695966,0.03631063600567285,0.033135384239812174,0.03319108175951737,0.03330658887590768,0.03360328570919025,0.0328017809509796,0.032699897401342,0.03386966134423232,0.03486182942688333,0.0353237469255646,0.03542776058578822,0.033135384239812105,0.03319108175951735,0.03330658887590765,0.033603285709190356,0.03280178095097952,0.03269989740134194,0.033869661344232416,0.03486182942688343,0.0353237469255645,0.035427760585788226
9,CA135087Q491,0.0325,4/21/2023,2028-09-01,99.74,99.72,99.72,99.55,99.88,99.91,99.44,98.99,98.81,98.77,56,100.89555555555555,100.88458333333334,100.89361111111111,100.73263888888889,101.07166666666666,101.12875,100.66777777777777,100.22680555555554,100.05583333333334,100.02486111111111,0.03337607187472372,0.03342416795461401,0.033424612003070536,0.03383129266441966,0.03304376013516886,0.03297287000614767,0.03409876729017553,0.03518436691325994,0.03562172598877896,0.03572048655549956,0.03256338938401756,0.03261407439035491,0.03261675710150636,0.03302837606035262,0.03226055785474822,0.0321881850443321,0.03327831693950323,0.03432774165971761,0.0347617045179374,0.03485841513168628,0.032563389384017594,0.03261407439035491,0.032616757101506355,0.03302837606035269,0.03226055785474813,0.032188185044332185,0.03327831693950323,0.03432774165971764,0.034761704517937364,0.03485841513168619
